Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c2 ab
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 b2
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 bb
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 a3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=46 7c
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 82
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=54 c3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=b8 1b
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=00 c3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=be c3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=b2 65
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c2 9f
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=4f 3d
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=00 69
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c2 a3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 9f
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=4d 54
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 83
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 85
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=74 09
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=4f 59
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 9a
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=42 1b
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=74 2d
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c3 90
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=60 c3
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=a1 38
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=53 31
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=c2 a6
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=6c 6e
Sent packet: src=10.1.1.67, dst=10.1.6.214, sport=54321, dport=54321, data=
